vx0,vy0,vz0,ax,ay,az,start_speed,left_handed_pitcher
7.699149007,-132.2256864,-6.583571577,-22.50825911,28.31192708,-16.5850096,91.1,0
6.680523086,-134.2155116,-6.355659795,-19.66027691,26.70318483,-14.3430602,92.4,0
2.565465047,-135.398674,-2.916573108,-14.78499506,27.80839169,-21.57377374,93.1,0
3.025984545,-141.5593981,-3.418943355,-18.61784756,31.34301864,-28.92158389,97.5,0
8.036661612,-127.1007844,-3.934398658,-23.78025499,29.21451161,-20.14151771,88,0
6.021287593,-135.9525556,-6.107570606,-18.90502333,25.5245456,-18.83345556,93.4,0
10.30400751,-137.0285014,-5.63367048,-21.3306221,30.60978499,-13.9389786,94.5,0
7.02408859,-138.1274704,-2.702629256,-18.45987126,28.58180363,-19.59090325,94.9,0
8.443100392,-138.4942374,-8.104430374,-22.55321918,28.39209592,-17.36095508,95.4,0
8.12722046,-136.4744845,-5.508038562,-19.51358694,28.23518923,-18.43483066,94.1,0
7.027396948,-136.230486,-3.339770977,-17.37122803,28.8049715,-24.16579991,93.9,0
9.661467985,-136.806934,-7.605426519,-17.99068243,29.96658569,-20.39053671,94.5,0
4.587986274,-137.0248476,-3.439552752,-16.00941194,30.19994835,-22.1927968,94.4,0
7.353751107,-136.2679352,-5.23304835,-16.2674164,30.28526471,-20.80220547,94,0
2.139326694,-131.5099216,-4.517018513,-17.17842685,27.0850992,-18.90085452,90.5,0
5.263483625,-132.5266003,-1.322148375,-18.37985437,28.9564111,-16.48168299,91.3,0
5.065210699,-135.3195288,-3.696212233,-19.41958782,29.97095862,-19.68630232,93.1,0
9.428478029,-135.3268253,-7.335957871,-17.42650399,26.9580692,-19.10985384,93.3,0
6.125792121,-135.8103984,-5.685574171,-17.97112422,29.21987965,-20.1743607,93.5,0
4.234670856,-136.1642052,-6.147726984,-19.72204217,30.03101946,-21.14546145,93.7,0
6.028746906,-136.0369629,-5.044864085,-18.78051305,29.12048198,-20.61621703,93.6,0
7.656547357,-136.6783055,-9.764710145,-19.79815002,30.01252571,-23.84632515,94.3,0
5.599599932,-126.4872615,-2.499088645,-10.61559627,26.38534643,-20.40309873,87.3,0
7.764520755,-128.6088649,-1.854475956,-11.59934509,21.71469212,-26.79216033,88.6,0
4.643054314,-129.4293977,-1.04293091,-9.522703084,24.51030448,-24.34325176,89.1,0
3.398112524,-138.1109967,-6.956366356,-16.55983134,30.4231599,-16.11298323,95,0
2.756349796,-137.4072299,-7.790724484,-15.68778738,29.09312761,-16.97969913,94.5,0
4.714489459,-138.0315703,-10.31999795,-15.80048552,27.59340306,-15.33181972,95,0
1.758829558,-131.7913806,-4.488512239,-11.06231269,26.02160979,-22.10543171,90.5,0
3.803664414,-131.3200837,-5.186462862,-16.3990155,30.15381997,-19.2130649,90.4,0
7.432516228,-134.2892843,-7.103893511,-17.54594688,29.0400765,-17.38058089,92.5,0
1.99798435,-131.5513284,-11.93520222,-14.21372878,30.16250398,-14.19203393,90.8,0
9.311293333,-129.9709684,-8.92795244,-14.07751904,29.3317949,-13.62183357,89.8,0
7.977664808,-133.1884979,-2.170528217,-11.91067034,30.4094225,-16.80188487,91.7,0
9.763566795,-134.3205437,-1.155263543,-10.32108518,27.73471764,-18.86260524,92.6,0
